"ya_subID","global_alt_RTs"
1,733.2928761
2,318.0433097
3,872.5941224
4,908.960461
5,502.2615469
6,362.2006918
7,1039.593828
8,645.1048246
9,607.3367777
10,972.7922216
11,415.9658392
12,444.8164455
13,864.7311329
14,615.5916808
16,1084.363991
17,1186.318689
18,534.5885041
19,686.6093492
20,560.6090054
21,394.6048055
22,703.7157895
23,396.9796711
24,966.6636839
25,650.2213212
26,435.2660628
28,700.9086294
29,674.2449887
30,1147.25564
31,829.8406385
34,575.8919715
36,738.5792813
37,983.477167
38,879.7488673
39,668.3310078
40,547.1462163
41,645.9171703
43,747.1169495
44,544.8824202
