"ya_subID","global_rand_errors"
1,0.043947575
2,-0.02620614
3,-0.011434837
4,-0.010416667
5,-0.006444209
6,0.001451906
7,-0.01814882
8,0.011740819
9,-0.026041667
10,-0.016444288
11,-0.019216954
12,-0.03125
13,-0.015625
14,-0.00297619
16,-0.015735816
17,-0.036458333
18,-0.390625
19,0.041754944
20,0.036099138
21,-0.009092514
22,-0.005208333
23,0.052259887
24,0.015530303
25,-0.020833333
26,0.001324153
28,0.010504944
29,-0.003884181
30,-0.063164894
31,0.007127193
34,-0.010416667
36,-0.016022748
37,-0.043333333
38,0.007856638
39,-0.063735876
40,-0.029925847
41,0.109554598
43,-0.002560028
44,0.037231969
