"ya_subID","pure_errors"
1,0.031524123
2,0.02620614
3,0.047149123
4,0.010416667
5,0.057291667
6,0.015789474
7,0.052631579
8,0.005208333
9,0.026041667
10,0.016444288
11,0.036458333
12,0.03125
13,0.015625
14,0.020833333
16,0.015735816
17,0.036458333
18,0.390625
19,0.026041667
20,0.015625
21,0.026041667
22,0.005208333
23,0.083333333
24,0.020833333
25,0.020833333
26,0.015625
28,0.057291667
29,0.020833333
30,0.063164894
31,0.010416667
34,0.010416667
36,0.041884817
37,0.083333333
38,0.026041667
39,0.114583333
40,0.046875
41,0.114583333
43,0.036458333
44,0.036842105
