"subID","pure_cv_m","pure_cv_rt","pure_oe_m","pure_oe_rt","altrun_m","altrun_rt","shuff_m","shuff_rt","switch_altrun_m","switch_altrun_rt","switch_shuff_m","switch_shuff_rt","no_switch_altrun_m","no_switch_altrun_rt","no_switch_shuff_m","no_switch_shuff_rt"
1,0.989583333333333,726.052631578947,0.947368421052632,920.888888888889,0.990825688073395,1534.19444444444,0.927272727272727,1317.90196078431,0.981481481481482,1510.77358490566,0.929824561403509,1449.09433962264,1,1556.76363636364,0.924528301886792,1176
2,0.979166666666667,576.840425531915,0.968421052631579,690.869565217391,0.966666666666667,940.620689655172,0.975,1042.81196581197,0.966101694915254,928.947368421053,0.950819672131147,1096.31034482759,0.967213114754098,951.898305084746,1,990.220338983051
3,0.947368421052632,597.766666666667,0.958333333333333,672.304347826087,0.914529914529915,1514.08411214953,0.896551724137931,1291.88461538462,0.898305084745763,1520.66037735849,0.833333333333333,1394.72,0.931034482758621,1507.62962962963,0.964285714285714,1196.66666666667
4,1,852.75,0.979166666666667,748.595744680851,1,1739.00840336134,0.983193277310924,1545.12820512821,1,1768.8813559322,0.967213114754098,1618.47457627119,1,1709.63333333333,1,1470.51724137931
5,0.916666666666667,735.420454545455,0.96875,701.806451612903,0.915966386554622,1229.70642201835,0.932773109243697,1293.62162162162,0.898305084745763,1239.03773584906,0.916666666666667,1311.38181818182,0.933333333333333,1220.875,0.949152542372881,1276.17857142857
6,0.989473684210526,940.223404255319,0.978947368421053,883.655913978495,0.973913043478261,1428.45535714286,0.991071428571429,1476.36036036036,1,1588.38181818182,1,1714.16666666667,0.95,1274.14035087719,0.982758620689655,1251.0701754386
7,1,745.34375,0.894736842105263,751.705882352941,0.949579831932773,1729.27433628319,0.966101694915254,1583.92105263158,0.915254237288136,1664.98148148148,0.966666666666667,1742.68965517241,0.983333333333333,1788.1186440678,0.96551724137931,1419.48214285714
8,1,840.75,0.989583333333333,845.873684210526,0.966386554621849,1573.33913043478,0.991666666666667,1690.70588235294,0.948275862068966,1665.98181818182,1,1749.70491803279,0.983606557377049,1488.41666666667,0.983050847457627,1628.65517241379
9,1,517.40625,0.947916666666667,551.395604395604,0.991666666666667,1164.18487394958,0.983333333333333,1034.30508474576,0.983050847457627,1187.79310344828,0.967213114754098,1043.15254237288,1,1141.73770491803,1,1025.45762711864
10,0.989583333333333,812.389473684211,0.97752808988764,1442.2183908046,0.990291262135922,1972.26470588235,0.989583333333333,2102.52631578947,0.980392156862745,1839.32,0.979166666666667,2354.6170212766,1,2100.09615384615,1,1855.6875
11,0.979166666666667,617.074468085106,0.947916666666667,782.417582417582,0.983193277310924,1182.35897435897,0.991596638655462,1016.85593220339,0.983050847457627,1250.15517241379,1,1057.44262295082,0.983333333333333,1115.71186440678,0.982758620689655,973.421052631579
12,0.979166666666667,606.595744680851,0.958333333333333,639.978260869565,0.957983193277311,1097.37719298246,0.974358974358974,1238.61403508772,0.949152542372881,1127.69642857143,0.95,1335.15789473684,0.966666666666667,1068.10344827586,1,1142.0701754386
13,0.989583333333333,682.073684210526,0.979166666666667,773.946808510638,0.974789915966387,1646.76724137931,0.991596638655462,1560.73728813559,0.983050847457627,1700.79310344828,0.983606557377049,1639.48333333333,0.966666666666667,1592.74137931034,1,1479.27586206897
14,0.989583333333333,711.631578947368,0.96875,902.623655913978,0.973913043478261,1448.46428571429,0.965811965811966,1501.73451327434,0.948275862068966,1475.14545454545,0.950819672131147,1586.37931034483,1,1422.71929824561,0.982142857142857,1412.47272727273
15,0.895833333333333,474.267441860465,0.78125,514.173333333333,0.733333333333333,656.465909090909,0.733333333333333,623.545454545455,0.728813559322034,685.744186046512,0.770491803278688,669.808510638298,0.737704918032787,628.488888888889,0.694915254237288,570.512195121951
16,0.98936170212766,940.645161290323,0.979166666666667,930.287234042553,1,2017.3619047619,1,2695.08910891089,1,2014.84615384615,1,2885.1875,1,2019.83018867925,1,2522.92452830189
17,0.96875,556.505376344086,0.958333333333333,534.923913043478,0.966386554621849,1811.55652173913,0.945945945945946,1529.67619047619,0.948275862068966,1898.30909090909,0.892857142857143,1790.98,0.983606557377049,1732.03333333333,1,1292.12727272727
18,0.25,767.434782608696,0.96875,931.870967741935,0.965811965811966,1339.34513274336,0.991150442477876,1438.23214285714,0.948275862068966,1292,0.983333333333333,1547.59322033898,0.983050847457627,1384.24137931034,1,1316.49056603774
19,0.989583333333333,727.915789473684,0.958333333333333,787.54347826087,0.95,1430.19298245614,0.891666666666667,1120.35514018692,0.932203389830508,1415.01818181818,0.852459016393443,1109.28846153846,0.967213114754098,1444.33898305085,0.932203389830508,1130.81818181818
20,1,763.958333333333,0.96875,917.290322580645,0.966666666666667,1449.6724137931,0.957627118644068,1550.6017699115,0.949152542372881,1501.57142857143,0.966666666666667,1617.44827586207,0.983606557377049,1401.23333333333,0.948275862068966,1480.10909090909
21,0.958333333333333,480.195652173913,0.989583333333333,510.494736842105,0.975,931.25641025641,0.975,1155.92307692308,0.966101694915254,974.736842105263,0.967213114754098,1208.61016949153,0.983606557377049,889.95,0.983050847457627,1102.3275862069
